,C22008638LR01-ISM012-042-Day2-940,C22008619LR01-sham-Day2-951,C22008628LR01-Vehicle-Day2-935,C22008626LR01-Vehicle-Day2-986,C22008627LR01-Vehicle-Day2-975,C22008621LR01-sham-Day2-992,C22008624LR01-Vehicle-Day2-966,C22008640LR01-ISM012-042-Day2-976,C22008639LR01-ISM012-042-Day2-1000,C22008637LR01-ISM012-042-Day2-967,C22008620LR01-sham-Day2-981,C22008623LR01-sham-Day2-995,C22008618LR01-sham-Day2-942,C22008641LR01-ISM012-042-Day2-950,C22008622LR01-sham-Day2-953,C22008625LR01-Vehicle-Day2-977,C22008629LR01-Vehicle-Day2-999,C22008636LR01-ISM012-042-Day2-963
Xkr4,0.657,0.471,0.158,0.262,0.422,0.471,0.915,0.17,0.274,0.726,0.164,0.214,0.25,0.53,0.359,0.534,0.308,0.316
Gm39585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38717,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0
Sox17,0.889,0.644,0.706,0.735,1.602,0.487,0.391,0.998,1.174,2.298,0.597,0.537,0.253,0.82,0.907,0.797,0.852,1.237
LOC108167609,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC108167610,0,0,0,0.08,0,0,0,0,0,0.109,0,0,0,0,0,0,0,0
Gm29874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0
Mrpl15,26.177,24.436,13.36,15.737,17.586,24.734,26.672,21.134,24.466,26.539,16.114,27.052,28.848,26.508,19.976,31.884,30.714,24.993
Lypla1,99.705,92.227,42.886,81.043,61.503,110.961,117.946,93.87,95.569,93.948,55.828,109.288,120.306,108.313,80.779,104.939,112.216,104.133
Gm39587,1.109,0,1.962,1.178,0,0,1.462,0.652,0,0,0.628,0,0.738,0.727,0.728,0,0.722,1.422
Tcea1,56.149,43.822,26.618,38.788,39.201,52.791,54.609,45.216,53.285,60.444,31.596,49.303,47.647,54.907,42.797,67.856,66.103,61.077
Rgs20,0.045,0.139,0.194,0.11,0.061,0.3,0.142,0.111,0.165,0.251,0,0.063,0.144,0.139,0.069,0.21,0,0.114
Gm16041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1h,38.591,36.231,19.491,34.244,34.555,39.202,44.339,40.972,45.434,44.617,25.668,43.454,38.61,44.879,36.345,49.752,48.872,50.297
Oprk1,0.618,0.234,1.056,1.056,0.899,0.3,0.18,0.904,1.474,0.157,0.255,0.725,0.63,1.572,0.122,0.164,0.893,0.665
Npbwr1,0.376,0.22,0,0.019,0.022,0.158,0.639,0,0.046,0.555,0.083,0.029,0.075,0.025,0.145,0.286,0.323,0
LOC108167788,0,0.539,0.111,0.129,0.144,0.171,0.641,0.286,0,0,0,0.555,0.488,0.16,0.48,0,0.161,0
4732440D04Rik,2.607,2.166,0.724,1.226,0.811,2.936,1.557,1.533,2.056,1.747,2.15,3.842,2.296,1.978,2.207,1.147,1.986,1.179
Rb1cc1,20.65,21.143,8.586,14.651,11.473,30.185,27.528,16.877,22.292,20.533,13.917,22.754,24.971,24.541,18.113,20.383,18.619,15.782
Fam150a,0.374,0,0.302,0,1.527,0,0.165,0,0.155,4.326,0.128,0.193,0.168,0.326,0.157,2.4,0.333,0.326
LOC108167611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St18,0.694,0.511,0.271,0.441,0.504,1.429,0.681,0.304,0.69,0.325,0.406,1.115,0.76,0.838,0.52,0.602,0.662,0.505
Pcmtd1,28.45,24.047,15.242,17.752,21.818,37.947,27.948,27.055,29.397,28.753,23.337,31.618,28.476,35.475,25.325,20.722,23.677,24.392
Gm26901,0.086,0.095,0.11,0.071,0,0,0.062,0.17,0.062,0.053,0.018,0.06,0.032,0.154,0.075,0.325,0.102,0.107
Gm39589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sntg1,0.032,0.046,0.05,0.085,0.024,0.06,0.028,0.049,0.088,0.059,0,0.081,0.169,0.069,0.02,0,0.085,0.03
Gm30719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
